Temperature high,Temperature avg,Temperature low,Dew Point high,Dew Point avg,Dew Point low,Humidity high,Humidity avg,Humidity low,Sea Level Pressure high,Sea Level Pressure avg,Sea Level Pressure low,Visibility high,Visibility avg,Visibility low,Wind high,Wind avg,Precipitation
32,28,24,26,24,22,95,82,51,1011,1008,1006,14,10,0,23,6,1.02
31,28,24,25,24,23,94,87,64,1011,1009,1006,14,9,5,13,3,0
32,29,25,26,24,23,100,84,54,1011,1009,1006,13,9,5,16,3,16
32,27,23,24,23,22,100,79,53,1010,1008,1006,14,10,3,19,6,0
32,28,24,25,23,22,89,74,51,1009,1007,1005,18,10,6,13,5,0
34,30,26,25,23,22,89,71,47,1009,1006,1003,14,10,8,16,5,0
33,29,26,25,23,22,89,72,50,1008,1006,1003,14,10,10,19,6,0
34,30,26,24,23,22,89,68,47,1009,1006,1003,14,10,8,14,5,0
34,29,24,25,23,21,89,72,34,1009,1007,1004,18,10,8,14,5,0
34,29,24,27,24,22,94,75,44,1010,1008,1005,14,10,6,16,5,0
34,30,26,25,23,21,94,72,44,1010,1008,1006,10,9,2,11,5,0
33,29,24,25,23,22,94,76,55,1010,1008,1005,10,9,6,13,6,0
32,29,25,25,23,22,89,78,54,1010,1008,1006,11,9,3,21,5,0
34,29,24,26,23,22,94,77,50,1011,1009,1006,14,10,8,19,6,0
33,29,24,25,23,22,89,72,52,1012,1010,1007,14,10,8,26,10,0
32,28,24,25,24,22,100,81,52,1012,1009,1006,14,10,3,19,10,4.06
33,28,24,26,24,23,94,85,49,1012,1009,1007,18,10,5,16,6,2.03
33,28,24,24,23,22,94,78,49,1013,1010,1007,11,10,5,14,5,9.91
32,28,24,25,24,23,94,81,50,1013,1010,1007,11,10,3,14,6,9.91
32,28,24,25,24,23,94,86,61,1013,1010,1007,14,9,3,13,5,16
29,27,24,24,23,22,95,80,64,1014,1011,1008,14,9,3,16,6,0
33,28,23,24,22,21,92,71,44,1014,1011,1009,14,10,2,29,11,3.05
29,26,23,25,24,22,100,88,65,1014,1012,1010,11,9,3,16,8,12.95
24,23,23,24,23,22,100,96,92,1016,1013,1011,10,7,3,11,3,8.89
31,27,22,25,23,22,100,87,61,1015,1012,1009,14,9,3,21,8,7.87
32,28,23,26,24,23,100,90,62,1015,1012,1008,14,9,0,19,5,18.03
31,27,23,24,23,22,100,84,59,1013,1011,1008,11,9,1,26,5,7.87
31,27,23,25,23,22,100,83,53,1013,1011,1008,13,9,3,13,5,23.88
31,27,23,25,24,22,97,84,52,1014,1011,1009,14,10,3,11,3,0.25
31,27,23,25,24,23,100,84,55,1012,1010,1007,14,9,5,14,5,37.08
29,27,23,24,23,22,100,84,57,1012,1010,1008,14,10,5,13,5,0
29,27,24,24,23,22,94,80,62,1013,1011,1009,10,10,5,13,5,0.51
30,27,23,25,23,22,100,84,61,1014,1012,1009,10,9,6,13,5,0
33,28,23,25,23,22,94,76,42,1012,1010,1007,14,10,6,21,5,0
34,29,25,26,24,22,89,77,47,1011,1009,1006,14,10,1,21,5,0
34,29,25,27,25,23,94,81,49,1011,1009,1006,11,9,4,14,5,0
33,29,26,26,24,24,94,78,55,1012,1009,1007,14,10,8,19,6,0
32,29,26,26,25,24,94,87,58,1012,1010,1008,14,10,1,16,5,11.94
31,28,25,26,24,22,94,81,61,1012,1010,1007,14,9,6,19,6,0.25
34,29,24,25,23,21,89,72,38,1012,1009,1006,11,10,1,21,6,0
34,29,24,24,23,21,89,73,36,1012,1009,1006,18,10,9,24,8,0
33,29,24,24,22,20,85,66,39,1014,1011,1009,14,10,8,24,11,2.03
33,28,24,22,21,19,74,62,36,1015,1012,1010,11,10,10,23,13,0
33,28,24,24,22,21,94,74,44,1015,1013,1011,14,10,7,23,10,0.25
33,28,24,23,22,21,94,73,47,1016,1014,1011,18,10,8,34,8,3.05
33,28,24,24,22,21,100,72,48,1015,1013,1010,14,10,0,21,6,0.25
33,28,24,23,21,19,78,64,45,1014,1012,1009,14,10,10,27,11,0
34,29,24,25,22,20,91,69,46,1014,1011,1009,11,10,6,23,11,2.03
35,29,24,26,23,21,92,70,49,1013,1011,1009,18,10,6,23,10,0
33,29,24,26,23,22,90,73,51,1013,1010,1007,14,10,8,21,11,2.03
34,30,25,26,24,22,93,74,47,1011,1009,1006,16,10,6,19,10,1.02
32,29,25,26,24,23,94,83,64,1013,1010,1008,11,9,4,14,6,0
33,29,25,26,24,23,94,82,58,1012,1010,1007,14,10,6,19,5,0
33,29,24,26,24,23,94,80,55,1013,1010,1008,14,10,0,19,5,41.91
33,28,23,26,24,23,100,86,64,1015,1012,1009,18,9,4,14,6,7.87
33,28,23,26,23,22,95,83,57,1012,1010,1006,11,9,2,19,5,7.87
33,28,24,26,24,23,94,83,55,1012,1009,1005,18,10,6,16,6,0.25
31,28,24,26,24,22,94,84,70,1011,1009,1007,14,9,6,23,5,16
32,28,24,24,23,21,90,77,52,1012,1009,1007,13,10,7,32,11,2.03
30,27,24,24,23,22,94,82,61,1012,1010,1008,14,10,2,19,5,0
32,28,24,24,23,22,94,77,57,1011,1009,1007,14,10,5,24,10,0.25
32,28,24,24,22,21,94,74,51,1010,1008,1006,14,10,6,16,10,0
33,28,23,26,23,22,94,78,55,1010,1008,1005,14,10,6,21,8,0
33,28,24,26,24,23,95,86,59,1012,1009,1007,11,9,2,14,5,21.08
33,29,24,26,24,23,97,82,57,1011,1008,1005,14,10,6,21,5,2.03
32,28,24,25,24,23,97,83,62,1012,1009,1006,11,9,5,19,5,2.03
34,29,24,25,23,21,94,79,46,1011,1009,1006,10,9,6,16,6,1.02
33,29,24,25,23,22,90,76,43,1011,1008,1005,18,10,3,21,6,0.25
34,29,24,25,23,21,89,73,45,1011,1008,1005,14,10,3,21,6,0.25
33,29,25,25,24,22,94,77,43,1013,1009,1006,11,10,6,14,5,0
33,29,24,25,24,21,94,78,49,1013,1011,1007,14,10,6,19,6,0
34,29,24,26,24,22,94,78,37,1012,1010,1006,14,10,8,19,6,3.05
