Events	Code
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
No rain	0
No rain	0
No rain	0
No rain	0
No rain	0
No rain	0
No rain	0
No rain	0
Thunderstorm	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
Rain	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
No rain	0
Rain	1
No rain	0
Rain	1
Rain	1
"Rain , Thunderstorm"	1
No rain	0
Rain	1
No rain	0
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
Thunderstorm	1
"Rain , Thunderstorm"	1
Rain	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
Rain	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
No rain	0
Rain	1
No rain	0
No rain	0
Rain	1
No rain	0
"Rain , Thunderstorm"	1
Rain	1
Rain	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
No rain	0
Thunderstorm	1
No rain	0
"Rain , Thunderstorm"	1
No rain	0
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
No rain	0
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
Rain	1
Thunderstorm	1
No rain	0
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
No rain	0
No rain	0
No rain	0
No rain	0
"Rain , Thunderstorm"	1
No rain	0
No rain	0
Thunderstorm	1
No rain	0
"Rain , Thunderstorm"	1
No rain	0
No rain	0
No rain	0
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
Rain	1
No rain	0
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
Rain	1
Thunderstorm	1
No rain	0
No rain	0
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
No rain	0
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
Rain	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
No rain	0
Thunderstorm	1
No rain	0
Thunderstorm	1
No rain	0
Thunderstorm	1
No rain	0
Thunderstorm	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
No rain	0
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
No rain	0
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
No rain	0
"Rain , Thunderstorm"	1
Thunderstorm	1
Thunderstorm	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Thunderstorm	1
"Rain , Thunderstorm"	1
No rain	0
Rain	1
Rain	1
Rain	1
"Rain , Thunderstorm"	1
Rain	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
"Rain , Thunderstorm"	1
Rain	1
Thunderstorm	1
"Rain , Thunderstorm"	1
